Title,Job URL,Location,Compensation,Company ID,Skills
"Backend / API Engineer, Billing","https://stripe.com/jobs/search?gh_jid=7737237","Toronto, Canada","Not Available",7737237,"N/A"
"Backend/API Engineer, Money as a Service","https://stripe.com/jobs/search?gh_jid=6176758","US","Not Available",6176758,"N/A"
"Backend Engineer, AI Security","https://stripe.com/jobs/search?gh_jid=7826765","New York, San Francisco, Seattle, or Remote (US/Canada)","Not Available",7826765,"N/A"
"Backend Engineer/API, Payments and Risk","https://stripe.com/jobs/search?gh_jid=4921361","Dublin, Ireland","Not Available",4921361,"N/A"
"Backend Engineer, Billing/Tax","https://stripe.com/jobs/search?gh_jid=7217048","N/A","Not Available",7217048,"N/A"
"Backend Engineer, Core Tech, Canada","https://stripe.com/jobs/search?gh_jid=6567253","Toronto, CAN-Remote","Not Available",6567253,"N/A"
"Backend Engineer, Core Technology","https://stripe.com/jobs/search?gh_jid=7182617","Dublin","Not Available",7182617,"N/A"
"Backend Engineer, Core Technology","https://stripe.com/jobs/search?gh_jid=6042172","US-Remote, Chicago","Not Available",6042172,"N/A"
"Backend Engineer, Data","https://stripe.com/jobs/search?gh_jid=7913700","Canada","Not Available",7913700,"N/A"
"Backend Engineer, Expansion","https://stripe.com/jobs/search?gh_jid=7775622","N/A","Not Available",7775622,"N/A"
"Backend Engineer, Forward Deployed Engineering","https://stripe.com/jobs/search?gh_jid=7249744","N/A","Not Available",7249744,"N/A"
"Backend Engineer, Payments and Risk","https://stripe.com/jobs/search?gh_jid=7232592","US","Not Available",7232592,"N/A"
"Backend Engineer, Payments and Risk","https://stripe.com/jobs/search?gh_jid=6163230","US","Not Available",6163230,"N/A"
"Backend Engineer, Privy","https://stripe.com/jobs/search?gh_jid=7235875","NYC-Privy","Not Available",7235875,"N/A"
"Brand Designer, Privy","https://stripe.com/jobs/search?gh_jid=7721132","NYC-Privy","Not Available",7721132,"N/A"
"Brand Partnerships & Strategy Lead","https://stripe.com/jobs/search?gh_jid=7868790","New York City, NY","Not Available",7868790,"N/A"
"Bridge - Operations Associate ","https://stripe.com/jobs/search?gh_jid=7179634","Bengaluru","Not Available",7179634,"N/A"
"Business Development Manager, Agentic Commerce","https://stripe.com/jobs/search?gh_jid=7524334","San Francisco, CA; Seattle, WA","Not Available",7524334,"N/A"
"Business Development Manager, Training & Certification","https://stripe.com/jobs/search?gh_jid=7521020","Chicago, ATL, US-Remote","Not Available",7521020,"N/A"
"Campaign Operations Manager","https://stripe.com/jobs/search?gh_jid=7584016","San Francisco, Seattle, New York, Chicago, Remote in the US","Not Available",7584016,"N/A"
"Chief Operating Officer (COO) & Deputy Trust Officer, Bridge","https://stripe.com/jobs/search?gh_jid=7572925","San Francisco, New York, Seattle","Not Available",7572925,"N/A"
"Cloud Security Engineer","https://stripe.com/jobs/search?gh_jid=7867389","Seattle","Not Available",7867389,"N/A"
"CoE Data & Insights","https://stripe.com/jobs/search?gh_jid=7839662","Bengaluru","Not Available",7839662,"N/A"
"Collections Specialist","https://stripe.com/jobs/search?gh_jid=7398150","Mexico","Not Available",7398150,"N/A"
"Commercial Counsel","https://stripe.com/jobs/search?gh_jid=7589402","United States","Not Available",7589402,"N/A"
"Commercial Counsel,APAC","https://stripe.com/jobs/search?gh_jid=7823081","Singapore","Not Available",7823081,"N/A"
"Commercial Solutions Program Manager","https://stripe.com/jobs/search?gh_jid=7206336","Chicago, IL , Remote","Not Available",7206336,"N/A"
"Compensation Business Partner, Core","https://stripe.com/jobs/search?gh_jid=7859849","US-Remote (35 miles+ outside an office)","Not Available",7859849,"N/A"
"Consumer Operations Associate","https://stripe.com/jobs/search?gh_jid=7733301","Mexico City","Not Available",7733301,"N/A"
"Consumer Product Marketing Lead, Link","https://stripe.com/jobs/search?gh_jid=7947510","San Fransisco, New York, Seattle, Chicago, Remote US","Not Available",7947510,"N/A"
